LengthLeaf,WidthLeaf,L/W,L/V,ApicalAngle,SecondaryVeins,species,ID
18.28179188,8.171423534,2.237283602,0.4687638943,54.482,39,exaltata,RRL5
15.78403738,7.586845336,2.080448023,0.5637156207,36.823,28,exaltata,RRL6
16.538645,5.939402882,2.784563589,0.8704550003,31.395,19,exaltata,RRL7
14.31063638,8.794488609,1.627227804,0.5300235698,44.871,27,exaltata,RRL9
16.39169624,7.212642217,2.272634042,0.8627208546,47.176,19,exaltata,RRL10
18.69263559,9.118307805,2.05001147,0.6675941281,20.189,28,exaltata,RRL11
16.8450503,7.363973923,2.287494561,0.5104560696,45.405,33,exaltata,RRL12
14.84251442,6.869959666,2.160495133,0.6453267139,32.09,23,exaltata,RRL13
19.41023177,8.25915409,2.350147674,0.8822832624,32.875,22,exaltata,RRL16
21.43897099,7.707987596,2.781396664,0.7656775352,31.713,28,exaltata,RRL17
19.24747151,7.832728548,2.457313743,0.8368465874,21.309,23,exaltata,RRL18
17.81844862,8.653910215,2.059005487,0.9378130851,98.573,19,exaltata,RRL19
15.54772517,8.503391877,1.828414519,0.6219090067,28.926,25,exaltata,RRL20
22.58505593,9.259166953,2.439210357,0.9034022372,33.241,25,exaltata,RRL21
15.47134681,6.730518067,2.298685874,0.7735673404,30.324,20,exaltata,RRL22
17.91042061,10.59893797,1.689831629,0.3731337628,144.687,48,syriaca,SLG14
17.36586843,9.489043244,1.830096879,0.3946788279,92.416,44,syriaca,SLG21
16.94759193,7.856956102,2.157017515,0.4707664424,36.402,36,exaltata,SLG4
17.58266028,11.66791779,1.506923567,0.3317483073,61.899,53,syriaca,SLG10
18.01605284,9.349114043,1.927033167,0.3916533226,159.57,46,syriaca,SLG16
16.49105209,5.423280875,3.040788863,0.3365520834,102.053,49,syriaca,SLG18
21.69251381,8.39348999,2.584445068,0.4017132187,103.054,54,syriaca,SLG20
21.81049405,10.69875279,2.038601554,0.4115187557,106.309,53,syriaca,SLG23
13.51096026,7.476417346,1.807143667,0.422217508,37.691,32,exaltata,SLG2
13.70543129,7.24989798,1.890430917,0.3704170618,16.175,37,exaltata,SLG3
13.19494665,6.774746391,1.947666509,0.4712480946,33.534,28,exaltata,SLG5
13.62799629,7.792591629,1.748840044,0.5451198515,47.551,25,exaltata,SLG1
